Ημερομηνία,Ώρα,Πελάτης,Cocktail,LOT_Cocktail,Barcode,Τεμάχια,Υλικό,Σύνολο_ML,Στόχος_Γραμμάρια,Lot Number,Ημ_Λήξης
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PALOMA,40526,,120,CAZADORES BLANCO 700 ML,6000.0,2957.1,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PALOMA,40526,,120,FRESH LIME JUICE bar supply,3600.0,2916.0,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PALOMA,40526,,120,Simple syrop,1200.0,147.6,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PALOMA,40526,,120,PINK GRAPEFRUIT GIFFARD(pamplemousse rose),2400.0,828.0,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PALOMA,40526,,120,ΧΡΩΣΤΙΚΗ ΡΟΖ,30.0,23.6,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PORNSTAR MARTINI HIGH,40526,,120,ERISTOFF,7200.0,9154.3,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PORNSTAR MARTINI HIGH,40526,,120,FRESH LIME JUICE bar supply,3600.0,2916.0,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PORNSTAR MARTINI HIGH,40526,,120,Simple syrop,1800.0,221.4,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PORNSTAR MARTINI HIGH,40526,,120,Passion Fruit Puree monin 1000ml,1800.0,63.0,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PORNSTAR MARTINI HIGH,40526,,120,LIQUEUR PASSOA 700ml,1800.0,887.1,,
04/05/2026,20:14,ΣΙΑΜΑΝΤΑΣ,PORNSTAR MARTINI HIGH,40526,,120,vanilla syrup monin,600.0,762.9,,
04/05/2026,21:02,CabClub E-shop,PINA COLADA MEDIUM,40526,,240,BACARDI SPAIN 700ML,12000.0,4011.4,1111,1/11
04/05/2026,21:02,CabClub E-shop,PINA COLADA MEDIUM,40526,,240,Malibu,4800.0,2365.7,2222 / 3333,2/22 / 3/33
04/05/2026,21:02,CabClub E-shop,PINA COLADA MEDIUM,40526,,240,PINEAPPLE JUICE ARION,16800.0,7560.0,,
04/05/2026,21:02,CabClub E-shop,PINA COLADA MEDIUM,40526,,240,Coconut sirup Giffard 1lt,7200.0,6408.0,,
04/05/2026,21:02,CabClub E-shop,PINA COLADA MEDIUM,40526,,240,Simple syrop,2400.0,295.2,,
04/05/2026,21:02,CabClub E-shop,PINA COLADA MEDIUM,40526,,240,FRESH LIME JUICE bar supply,1200.0,972.0,,
04/05/2026,21:02,CabClub E-shop,NEGRONI,40526,,120,BOMBAY DRY GIN 700ml,3600.0,1203.4,5555,5/55
04/05/2026,21:02,CabClub E-shop,NEGRONI,40526,,120,Campari 700ml,3600.0,1774.3,6666,6/66
04/05/2026,21:02,CabClub E-shop,NEGRONI,40526,,120,Martini Rosso 1000ml,3600.0,1242.0,,
04/05/2026,21:18,CabClub E-shop,GOLDEN SHOWER,040526,nan,35,CAZADORES BLANCO 700 ML,1575.0,776.2,1111 / 2222,1/11 / 2/22
04/05/2026,21:18,CabClub E-shop,GOLDEN SHOWER,040526,nan,35,chocolate cookies syrup giffard 1lt,525.0,181.1,,
04/05/2026,21:18,CabClub E-shop,GOLDEN SHOWER,040526,nan,35,Liquer Melon Midori 700ml,1225.0,603.8,,
