ID,Name,Price,Volume,Weight_Full,Τιμή/ml,Αλκοόλ %,Απόθεμα (ml)
1014,Almond Syrup giffard 1000ml,8.96,1000.0,345.0,0.00896,0.0,0.0
1015,Almond Syrup Vedrenne 1000ml,6.76,1000.0,212.0,0.0067599999999999,0.0,0.0
1016,Angostura bitters 200ml,16.46,200.0,234.0,0.0823,0.0,0.0
1017,Apple Sourze 700 ml,10.2,700.0,123.0,0.0145714285714285,0.15,120.0
1018,Artesano Blanco Rum 700ml,14.5,700.0,654.0,0.0207142857142857,0.0,0.0
1019,BACARDI ANEJO CUATRO 700ML,20.5,700.0,234.0,0.0292857142857142,0.4,0.0
1020,BACARDI BLACK 700ML,16.07,700.0,123.0,0.0229571428571428,0.4,0.0
1021,BACARDI CARTA BLANCA 1LT,20.46,1000.0,12.0,0.02046,0.0,0.0
1022,BACARDI RESERVA OCHO 700 ML,27.85,700.0,456.0,0.0397857142857142,0.0,0.0
1023,BACARDI SPAIN 700ML,15.45,700.0,234.0,0.0220714285714285,0.375,0.0
1024,Balsam,11.8,1000.0,123.0,0.0118,0.0,0.0
1025,Basilic Syrup giffard 1000ml,9.86,1000.0,678.0,0.0098599999999999,0.0,0.0
1026,Basilic Syrup il Dodge 700ml,5.704,700.0,456.0,0.0081485714285714,0.0,0.0
1027,Berries,14.3,1000.0,345.0,0.0143,0.0,0.0
1028,BLOOD ORANGE GIFFARD syrup 1LT,7.16,1000.0,456.0,0.00716,0.0,0.0
1029,BOMBAY DRY GIN 700ml,15.02,700.0,234.0,0.0214571428571428,0.375,700.0
1030,Bubblegum Syrup giffard 1000ml,9.86,1000.0,123.0,0.0098599999999999,0.0,0.0
1031,BULDOG GIN,23.69,700.0,345.0,0.0338428571428571,0.4,0.0
1032,Campari 700ml,17.49,700.0,345.0,0.0249857142857142,0.25,0.0
1033,CAZADORES BLANCO 700 ML,21.1,700.0,345.0,0.0301428571428571,0.4,0.0
1034,CAZADORES REPOSADO 700 ML,22.79,700.0,345.0,0.0325571428571428,0.0,0.0
1035,CHOCOLATE COOKIES IL DOGE 700ML,7.13,700.0,345.0,0.0101857142857142,0.0,0.0
1036,chocolate cookies syrup giffard 1lt,9.86,1000.0,345.0,0.0098599999999999,0.0,0.0
1037,Cinnamon Syrup handmade - giffard 1lt,9.86,1000.0,890.0,0.0098599999999999,0.0,0.0
1038,Coconut puree REAL 500,8.36,500.0,890.0,0.01672,0.0,0.0
1039,Coconut sirup Giffard 1lt,9.86,1000.0,890.0,0.0098599999999999,0.0,0.0
1040,Coconut/BASILIC/CUCUMBER sirup IL DOGE,5.7,700.0,890.0,0.0081428571428571,0.0,0.0
1041,Cranberry juice mythical,1.71,1000.0,890.0,0.00171,0.0,0.0
1042,Cucumber syrup Giffard 1000ml,9.86,1000.0,890.0,0.0098599999999999,0.0,0.0
1043,Cucumber syrup Vedrenne 1000ml,6.76,1000.0,890.0,0.0067599999999999,0.0,0.0
1044,Cutty Sark Whiskey 700ml,15.24,700.0,890.0,0.0217714285714285,0.4,0.0
1045,DEWARS 700 ml,15.49,1000.0,890.0,0.01549,0.0,0.0
1046,DON Q,17.22,1000.0,890.0,0.01722,0.0,0.0
1047,ERISTOFF,10.79,700.0,890.0,0.0154142857142857,0.375,235.0
1048,Falernum Velvet 700ml,18.24,700.0,890.0,0.0260571428571428,0.11,0.0
1049,Finsbury Gin 700ml,11.44,700.0,678.0,0.0163428571428571,0.375,0.0
1050,Forest Fruit Puree mixer,13.43,1000.0,678.0,0.01343,0.0,0.0
1051,Fresh lemon juice bar supply,7.0,1000.0,678.0,0.007,0.0,0.0
1052,FRESH LEMON JUICE mythical,1.2,1000.0,678.0,0.0012,0.0,0.0
1053,FRESH LIME JUICE bar supply,4.2,700.0,567.0,0.006,0.0,500.0
1054,FRESH ORANGE JUICE mythical 1000 ml,1.92,1000.0,567.0,0.0019199999999999,0.0,0.0
1055,GIN KORSAVAS,12.51,1000.0,567.0,0.01251,0.0,0.0
1056,"GIN SOUTH BANK 700 ML (37,5%)",9.635,700.0,567.0,0.0137642857142857,0.375,0.0
1057,Ginger Syrup handmade,0.003,1.0,567.0,0.003,0.0,0.0
1058,Grenadine giffard 1000 ml,6.26,1000.0,456.0,0.00626,0.0,0.0
1059,Hendrick's Gin 700ml,30.02,700.0,456.0,0.0428857142857142,0.0,0.0
1060,Honey Syrup handmade,0.01,1000.0,456.0,1e-05,0.0,0.0
1061,KINGSBURY GIN 700ML,10.85,700.0,456.0,0.0155,0.4,0.0
1062,KRESKOVA VODKA 700ML,10.46,700.0,345.0,0.0149428571428571,0.4,0.0
1063,Liquer Melon Midori 700ml,16.36,700.0,345.0,0.0233714285714285,0.2,0.0
1065,Liqueur Giffard Rose/Τριαντάφυλλο,10.46,700.0,345.0,0.0149428571428571,0.16,0.0
1066,LIQUEUR PASSOA 700ml,11.92,700.0,345.0,0.0170285714285714,0.17,0.0
1067,Liqueur Peach Schnapps giffard,12.02,700.0,345.0,0.0171714285714285,0.16,0.0
1064,Liqueur καρπουζι monin,15.91,700.0,345.0,0.0227285714285714,0.0,0.0
1068,Malibu,12.69,700.0,345.0,0.0181285714285714,0.21,0.0
1069,Mango Puree monin 1000ml,16.05,1000.0,345.0,0.01605,0.0,0.0
1070,Marmelade Raspberry,15.0,1000.0,345.0,0.015,0.0,0.0
1071,Martini Rosso 1000ml,9.32,1000.0,345.0,0.00932,0.16,0.0
1072,Mastic Liquer XARALABIDHS 5 LT,47.9,5000.0,345.0,0.00958,0.2,0.0
1073,Melon Puree ODK 750ML,11.25,750.0,345.0,0.015,0.0,0.0
1074,Metaxa 5star 700 ml,13.67,700.0,345.0,0.0195285714285714,0.0,0.0
1076,Monin puree peach 1lt,14.21,1000.0,345.0,0.01421,0.0,0.0
1077,Monin Puree Yuzu 1L,18.81,1000.0,345.0,0.01881,0.0,0.0
1075,MONIN ΣΙΡΟΠΙ ΤΡΙΑΝΤΑΦΥΛΛΟ,9.18,700.0,345.0,0.0131142857142857,0.0,0.0
1078,Mount Gay Rum Black Barrel 700ml,33.32,700.0,345.0,0.0476,0.0,0.0
1079,Mount Gay Rum Eclipse 700ml,17.76,700.0,345.0,0.0253714285714285,0.0,0.0
1080,NOILY PRAT SWEET VERMOUT,14.35,750.0,345.0,0.0191333333333333,0.18,0.0
1081,OD NICK WHITE RUM 700ML,10.71,700.0,345.0,0.0153,0.375,0.0
1082,OLD NICK DARK RUM 700ML,10.71,700.0,345.0,0.0153,0.375,0.0
1083,Olmeca tequilla silver,18.12,700.0,345.0,0.0258857142857142,0.35,0.0
1084,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,9.97,700.0,345.0,0.0142428571428571,0.25,0.0
1085,Ouzo PERNAU 5000ML,42.09,5000.0,35.0,0.008418,0.38,0.0
1086,Passion Fruit Puree monin 1000ml,14.21,1000.0,35.0,0.01421,0.0,0.0
1129,PINEAPPLE JUICE ARION,1.47,1000.0,450.0,0.00147,0.0,0.0
1087,Pineapple Juice MYTHICAL,1.47,1000.0,345.0,0.00147,0.0,0.0
1088,PINK GRAPEFRUIT GIFFARD(pamplemousse rose),12.76,1000.0,345.0,0.01276,0.0,0.0
1089,Pink pepper,30.0,1000.0,345.0,0.03,0.0,0.0
1090,PLANTATION 700ML ORIGINAL DARK AGED,16.72,700.0,345.0,0.0238857142857142,0.0,0.0
1091,PLANTATION RUM  OVERPROOF 700ML,27.11,700.0,345.0,0.0387285714285714,0.69,0.0
1092,pumpkin puree real handmade 500ml,10.25,500.0,345.0,0.0205,0.0,0.0
1093,PUREE MELON MIXER 1000ML,13.68,1000.0,345.0,0.01368,0.0,0.0
1094,PUREE STR/PASSION/MANGO/PEACH DREAMY 1LT,8.8,950.0,345.0,0.0092631578947368,0.0,0.0
1095,"RUM DONQ OVERPROOF 700ML (75,5%)",24.82,700.0,345.0,0.0354571428571428,0.0,0.0
1096,RUM KORSAVAS,12.51,1000.0,345.0,0.01251,0.0,0.0
1097,"RUM RON GALADOS  BLACK1000ML(37,5%)",13.745,1000.0,234.0,0.0137449999999999,0.375,0.0
1098,"RUM RON GALADOS  WHITE1000ML (37,5%)",13.683,1000.0,234.0,0.0136829999999999,0.375,0.0
1099,RUM RON GALADOS SPICED700ML (35%),10.249,700.0,234.0,0.0146414285714285,0.35,0.0
1100,Salted Caramel Syrup giffard 1000ml,9.86,1000.0,234.0,0.0098599999999999,0.0,0.0
1101,SALTED CARAMEL SYRUP IL DOGE,5.7,700.0,123.0,0.0081428571428571,0.0,0.0
1102,Serkhova,11.8,700.0,123.0,0.0168571428571428,0.375,0.0
1103,Sierra Tequila Reposado700ml,16.45,700.0,123.0,0.0235,0.0,0.0
1104,Sierra Tequila silver 700ml,15.99,700.0,123.0,0.0228428571428571,0.0,0.0
1105,Simple syrop,1.6,1000.0,123.0,0.0016,0.0,0.0
1106,SMUSHED CARDAMON,14.0,700.0,123.0,0.02,0.0,0.0
1107,Stolichnaya Vodka 700ml,14.01,700.0,890.0,0.0200142857142857,0.0,0.0
1108,Stolichnaya Vodka Vanilla 700ml,14.0,700.0,890.0,0.02,0.0,0.0
1109,Strawberry liquer GIFFARD 700ML,12.72,700.0,890.0,0.0181714285714285,0.16,0.0
1110,Strawberry Puree monin 1000ml,14.21,1000.0,890.0,0.01421,0.0,0.0
1111,Strawberry syrup GIFFARD 1000ml,9.86,1000.0,890.0,0.0098599999999999,0.0,0.0
1112,Sweet Devil Syrop 1000ml,6.0,1000.0,890.0,0.006,0.0,0.0
1113,Syrup Ginger giffard,9.86,1000.0,890.0,0.0098599999999999,0.0,0.0
1114,TEQUILA JARANA 1000ML (35%),20.81,1000.0,890.0,0.02081,0.35,0.0
1115,TEQUILA KORSAVAS,12.51,1000.0,890.0,0.01251,0.0,0.0
1116,Tequila la chica 700ml (38%) blanco,13.0,700.0,890.0,0.0185714285714285,0.38,0.0
1117,TISCAZ BLANCO TEQUILA 700ML,13.73,700.0,890.0,0.0196142857142857,0.35,0.0
1118,TRIPLE SEC CARTRON 700ML (25%),10.691,700.0,890.0,0.0152728571428571,0.25,0.0
1119,TRIPLE SEC CARTRON 700ML (40%),14.041,700.0,890.0,0.0200585714285714,0.4,0.0
1121,VANILLA SYRUP 700ML,6.0,700.0,890.0,0.0085714285714285,0.0,0.0
1122,Vanilla Syrup Giffard 1000ml,9.86,1000.0,890.0,0.0098599999999999,0.0,0.0
1123,vanilla syrup monin,8.98,700.0,890.0,0.0128285714285714,0.0,0.0
1124,Violet Syrup Giffard,9.86,1000.0,890.0,0.0098599999999999,0.0,0.0
1125,"VODKA KALINSKA 700ML (37,5%)",9.573,700.0,890.0,0.0136757142857142,0.375,0.0
1126,VODKA KORSAVAS,12.51,1000.0,890.0,0.01251,0.0,0.0
1001,"ΔΕΝΤΡΟΛΙΒΑΝΟ 0,5gr",1.0,1000.0,12.0,0.001,0.0,0.0
1002,"ΔΥΟΣΜΟΣ 0,5gr",1.0,1000.0,123.0,0.001,0.0,0.0
1003,Κιτρικό Οξύ,10.0,1000.0,345.0,0.01,0.0,0.0
1004,ΛΙΚΕΡ ΣΧΙΝΟΣ ΜΑΣΤΙΧΑ,14.78,700.0,242.0,0.0211142857142857,0.3,0.0
1005,ΜΑΡΜΕΛΑΔΑ ΔΑΜΑΣΚΗΝΟ,5.0,1000.0,245.0,0.005,0.0,0.0
1128,ΟΥΖΟ ΜΥΤΗΛΙΝΙΟ,42.09,5000.0,600.0,0.008418,0.375,0.0
1006,ΡΑΚΙ ΧΥΜΑ1000ML,6.0,1000.0,635.0,0.006,0.4,0.0
1007,ΣΙΡΟΠΙ ΑΓΑΥΗΣ,15.0,1000.0,543.0,0.015,0.0,0.0
1008,ΣΙΡΟΠΙ ΣΥΚΟ,11.2,1000.0,543.0,0.0112,0.0,0.0
1009,ΤΡΙΑΝΤΑΦΥΛΛΟ ΑΠΟΞΗΡΑΜΕΝΟ,1.0,1000.0,234.0,0.001,0.0,0.0
1120,Τσίπουρο ΡΑΨΑΝΙΩΤΗΣ,8.5,1000.0,890.0,0.0085,0.4,0.0
