ΣΥΝΤΑΓΗ,ΚΟΣΤΟΣ ΠΡΟΙΟΝΤΟΣ,ΠΡΟΤΕΙΝΟΜΕΝΗ ΤΙΜΗ ΠΩΛΗΣΗΣ,Γενικές Εκπτώσεις,ΑΝΤΙΠΡΟΣΩΠΟΙ,Eshop B2C,Gprofit value Representatives,Gprofit % Representatives,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,mark up % profit representatives,0.35
AEGEAN KINGS HIGH,2.1804285714285716,3.9825,3.9825,2.95,5.95,1.0324999999999998,0.2592592592592592,3.1,0.8824999999999998,,,,,,Γενικές Εκπτώσεις,0.0
AEGEAN KINGS MEDIUM,1.640685714285714,3.3884999999999996,3.3884999999999996,2.51,4.95,0.8784999999999998,0.25925925925925924,2.7,0.6884999999999994,,,,,,Plan B Rep,0.4
ALL INC AEGEAN KINGS MEDIUM,1.2494285714285713,2.8484999999999996,2.8484999999999996,2.11,,0.7384999999999997,0.2592592592592592,2.75,0.09849999999999959,,,,,,,
ALL INC DAIQUIRI MANGO LOW,1.234898947368421,3.024,3.024,2.24,,0.7839999999999998,0.2592592592592592,2.8,0.2240000000000002,,,,,,,
ALL INC DAIQUIRI PASSION FRUIT LOW,1.234898947368421,3.024,3.024,2.24,,0.7839999999999998,0.2592592592592592,3.0,0.02400000000000002,,,,1.0,,,
ALL INC DAQUIRI STR LOW,1.2995789473684212,2.8484999999999996,2.8484999999999996,2.11,,0.7384999999999997,0.2592592592592592,3.42,-0.5715000000000003,,,,,,,
ALL INC LONG ISLAND ICE TEA,1.9560000000000002,3.8205,3.8205,2.83,,0.9904999999999999,0.25925925925925924,2.79,1.0709999999999997,,,,,,,
ALL INC PINA COLADA,1.6599071428571426,3.8609999999999998,3.8609999999999998,2.86,,1.001,0.25925925925925924,3.3,-0.45150000000000023,,,,,,,
ALL INC PORNSTAR MARTINI LOW,1.2665932330827068,2.8484999999999996,2.8484999999999996,2.11,,0.7384999999999997,0.2592592592592592,2.76,0.2909999999999999,,,,,,,
ALL INC SALTED CARAMEL MARTINI LOW,1.2851515789473684,3.0509999999999997,3.0509999999999997,2.26,,0.7909999999999999,0.25925925925925924,3.3,0.0884999999999998,,,,,,,
ALL INC SEX ON THE BEACH,1.485265864661654,3.3884999999999996,3.3884999999999996,2.51,4.95,0.8784999999999998,0.25925925925925924,2.74,0.5404999999999998,,,,,,,
APPLE MARTINI,1.5183571428571427,3.2805,3.2805,2.43,5.95,0.8504999999999998,0.2592592592592592,3.83,0.42249999999999943,,,,,,,
BITTER SWEET AROMA,2.1494500000000003,4.2524999999999995,4.2524999999999995,3.15,5.95,1.1024999999999996,0.2592592592592592,2.5,1.5499999999999998,,,,,,,
BLOOD ORANGE HIGH,1.8171857142857144,4.05,4.05,3.0,4.95,1.0499999999999998,0.25925925925925924,3.35,0.011500000000000288,,,,,,,
BLOOD ORANGE MEDIUM,1.4868714285714284,3.3615000000000004,3.3615000000000004,2.49,4.95,0.8715000000000003,0.2592592592592593,3.51,-0.02699999999999969,,,,,,,
