Ονομα,Τιμή Καταλόγου,ΣΥΣΤΑΤΙΚΟ1,ML1,ΣΥΣΤΑΤΙΚΟ2,ML2,ΣΥΣΤΑΤΙΚΟ3,ML3,ΣΥΣΤΑΤΙΚΟ4,ML4,ΣΥΣΤΑΤΙΚΟ5,ML5,ΣΥΣΤΑΤΙΚΟ6,ML6,ΣΥΣΤΑΤΙΚΟ7,ML7,ΣΥΣΤΑΤΙΚΟ8,ML8,ΣΥΣΤΑΤΙΚΟ9,ML9,ΣΥΣΤΑΤΙΚΟ10,ML10,ΣΥΣΤΑΤΙΚΟ11,ML11,ΣΥΣΤΑΤΙΚΟ12,ML12,ΣΥΣΤΑΤΙΚΟ13,ML13
AEGEAN KINGS HIGH,3.98,Νερό,10.0,BOMBAY DRY GIN 700ml,60.0,FRESH LIME JUICE bar supply 1000ml,30.0,Basilic Syrup giffard 1000ml,20.0,Cucumber syrup Giffard 1000ml,30.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
AEGEAN KINGS MEDIUM,0.0,Νερό,10.0,BOMBAY DRY GIN 700ml,40.0,FRESH LIME JUICE bar supply 1000ml,25.0,Basilic Syrup giffard 1000ml,15.0,Cucumber syrup Giffard 1000ml,25.0,FRESH LEMON JUICE viva 1000ml,15.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ALL INC AEGEAN KINGS MEDIUM,0.0,Νερό,10.0,KINGSBURY GIN 700ML,40.0,FRESH LIME JUICE bar supply 1000ml,20.0,Basilic Syrup il Dodge 700ml,15.0,Cucumber syrup Vedrenne 1000ml,20.0,FRESH LEMON JUICE viva 1000ml,20.0,Simple syrop,5.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ALL INC DAIQUIRI MANGO LOW,0.0,Νερό,10.0,"RUM RON GALADOS  WHITE1000ML (37,5%)",40.0,FRESH LIME JUICE bar supply 1000ml,30.0,Simple syrop,35.0,PUREE STR/PASSION/MANGO/PEACH DREAMY 1LT,25.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ALL INC DAIQUIRI PASSION FRUIT LOW,0.0,Νερό,10.0,"RUM RON GALADOS  WHITE1000ML (37,5%)",40.0,FRESH LIME JUICE bar supply 1000ml,30.0,Simple syrop,35.0,PUREE STR/PASSION/MANGO/PEACH DREAMY 1LT,25.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ALL INC DAQUIRI STR LOW,0.0,Νερό,10.0,OLD NICK DARK RUM 700ML,40.0,FRESH LIME JUICE bar supply 1000ml,30.0,Simple syrop,35.0,PUREE STR/PASSION/MANGO/PEACH DREAMY 1LT,25.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ALL INC LONG ISLAND ICE TEA,0.0,Νερό,10.0,KINGSBURY GIN 700ML,20.0,OD NICK WHITE RUM 700ML,20.0,KRESKOVA VODKA 700ML,20.0,TISCAZ BLANCO TEQUILA 700ML,20.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,20.0,Simple syrop,15.0,FRESH LIME JUICE bar supply 1000ml,20.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ALL INC PINA COLADA,0.0,Νερό,10.0,"RUM RON GALADOS  WHITE1000ML (37,5%)",50.0,Malibu,20.0,Pineapple Juice VIVA 1000ml,70.0,Coconut/BASILIC/CUCUMBER sirup IL DOGE,30.0,Simple syrop,10.0,FRESH LIME JUICE bar supply 1000ml,5.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ALL INC PORNSTAR MARTINI LOW,0.0,Νερό,10.0,KRESKOVA VODKA 700ML,40.0,FRESH LIME JUICE bar supply 1000ml,20.0,Simple syrop,30.0,Vanilla Syrup Giffard 1000ml,5.0,PUREE STR/PASSION/MANGO/PEACH DREAMY 1LT,25.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ALL INC SALTED CARAMEL MARTINI LOW,0.0,Νερό,10.0,"RUM RON GALADOS  WHITE1000ML (37,5%)",40.0,FRESH LIME JUICE bar supply 1000ml,30.0,Salted Caramel Syrup giffard 1000ml,20.0,Simple syrop,30.0,PUREE STR/PASSION/MANGO/PEACH DREAMY 1LT,10.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
